base,intersect to,T,det,signature,matrix
1,1,2,-1,1,0 1 2;1 -1 1;2 1 8
1,2,2,-1,1,0 1 2;1 -1 1;2 1 8
1,3,13,121,1,-11 1 0 0 0 0 0 0 0 0 0 0 0 -9;1 -1 1 0 0 0 0 0 0 0 0 0 1 1;0 1 -2 1 0 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 0 0 0 1 -2 0 0;0 1 0 0 0 0 0 0 0 0 0 0 -1 1;-9 1 0 0 0 0 0 0 0 0 0 0 1 -3
1,4,12,-100,1,-10 1 0 0 0 0 0 0 0 0 0 0 -8;1 -1 1 0 0 0 0 0 0 0 0 1 1;0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 0 0 1 -2 0 0;0 1 0 0 0 0 0 0 0 0 0 -1 1;-8 1 0 0 0 0 0 0 0 0 0 1 -2
1,5,11,81,1,-9 1 0 0 0 0 0 0 0 0 0 -7;1 -1 1 0 0 0 0 0 0 0 1 1;0 1 -2 1 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 0 1 -2 0 0;0 1 0 0 0 0 0 0 0 0 -1 1;-7 1 0 0 0 0 0 0 0 0 1 -1
1,6,10,-64,1,-8 1 0 0 0 0 0 0 0 0 -6;1 -1 1 0 0 0 0 0 0 1 1;0 1 -2 1 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 1 -2 0 0;0 1 0 0 0 0 0 0 0 -1 1;-6 1 0 0 0 0 0 0 0 1 0
1,7,11,225,1,-8 1 0 0 0 0 0 0 0 0 0 -6;1 -2 1 0 0 0 0 0 0 0 0 0;0 1 -1 1 0 0 0 0 0 0 1 1;0 0 1 -3 1 0 0 0 0 0 0 -1;0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 0 1 -2 0 0;0 0 1 0 0 0 0 0 0 0 -1 1;-6 0 1 -1 0 0 0 0 0 0 1 -1
1,8,9,49,1,-7 1 0 0 0 0 0 0 0 -5;1 -1 1 0 0 0 0 0 1 1;0 1 -2 1 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0;0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 1 -2 0 0;0 1 0 0 0 0 0 0 -1 1;-5 1 0 0 0 0 0 0 1 1
1,9,10,-169,1,-7 1 0 0 0 0 0 0 0 0 -5;1 -2 1 0 0 0 0 0 0 0 0;0 1 -1 1 0 0 0 0 0 1 1;0 0 1 -3 1 0 0 0 0 0 -1;0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 1 -2 0 0;0 0 1 0 0 0 0 0 0 -1 1;-5 0 1 -1 0 0 0 0 0 1 0
1,10,8,-36,1,-6 1 0 0 0 0 0 0 -4;1 -1 1 0 0 0 0 1 1;0 1 -2 1 0 0 0 0 0;0 0 1 -2 1 0 0 0 0;0 0 0 1 -2 1 0 0 0;0 0 0 0 1 -2 1 0 0;0 0 0 0 0 1 -2 0 0;0 1 0 0 0 0 0 -1 1;-4 1 0 0 0 0 0 1 2
1,11,9,121,1,-6 1 0 0 0 0 0 0 0 -4;1 -2 1 0 0 0 0 0 0 0;0 1 -1 1 0 0 0 0 1 1;0 0 1 -3 1 0 0 0 0 -1;0 0 0 1 -2 1 0 0 0 0;0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 1 -2 0 0;0 0 1 0 0 0 0 0 -1 1;-4 0 1 -1 0 0 0 0 1 1
1,12,7,25,1,-5 1 0 0 0 0 0 -3;1 -1 1 0 0 0 1 1;0 1 -2 1 0 0 0 0;0 0 1 -2 1 0 0 0;0 0 0 1 -2 1 0 0;0 0 0 0 1 -2 0 0;0 1 0 0 0 0 -1 1;-3 1 0 0 0 0 1 3
1,13,8,-81,1,-5 1 0 0 0 0 0 0 -3;1 -2 1 0 0 0 0 0 0;0 1 -1 1 0 0 0 1 1;0 0 1 -3 1 0 0 0 -1;0 0 0 1 -2 1 0 0 0;0 0 0 0 1 -2 1 0 0;0 0 0 0 0 1 -2 0 0;0 0 1 0 0 0 0 -1 1;-3 0 1 -1 0 0 0 1 2
1,14,6,-16,1,-4 1 0 0 0 0 -2;1 -1 1 0 0 1 1;0 1 -2 1 0 0 0;0 0 1 -2 1 0 0;0 0 0 1 -2 0 0;0 1 0 0 0 -1 1;-2 1 0 0 0 1 4
1,15,7,49,1,-4 1 0 0 0 0 0 -2;1 -2 1 0 0 0 0 0;0 1 -1 1 0 0 1 1;0 0 1 -3 1 0 0 -1;0 0 0 1 -2 1 0 0;0 0 0 0 1 -2 0 0;0 0 1 0 0 0 -1 1;-2 0 1 -1 0 0 1 3
1,16,5,9,1,-3 1 0 0 0 -1;1 -1 1 0 1 1;0 1 -2 1 0 0;0 0 1 -2 0 0;0 1 0 0 -1 1;-1 1 0 0 1 5
1,17,6,-25,1,-3 1 0 0 0 0 -1;1 -2 1 0 0 0 0;0 1 -1 1 0 1 1;0 0 1 -3 1 0 -1;0 0 0 1 -2 0 0;0 0 1 0 0 -1 1;-1 0 1 -1 0 1 4
1,18,4,-4,1,-2 1 0 0 0;1 -1 1 1 1;0 1 -2 0 0;0 1 0 -1 1;0 1 0 1 6
1,19,5,9,1,-2 1 0 0 0 0;1 -2 1 0 0 0;0 1 -1 1 1 1;0 0 1 -3 0 -1;0 0 1 0 -1 1;0 0 1 -1 1 5
1,20,2,-1,1,0 1 2;1 -1 1;2 1 8
2,1,2,-1,1,0 1 2;1 -1 1;2 1 8
2,2,4,-4,1,-2 1 0 0 0;1 -1 1 1 1;0 1 -2 0 0;0 1 0 -1 1;0 1 0 1 6
2,3,6,-25,1,-2 1 0 0 0 0 0;1 -3 1 0 0 0 -1;0 1 -1 1 0 1 1;0 0 1 -2 1 0 0;0 0 0 1 -3 0 -1;0 0 1 0 0 -1 1;0 -1 1 0 -1 1 4
2,4,5,9,1,-2 1 0 0 0 0;1 -2 1 0 0 0;0 1 -1 1 1 1;0 0 1 -3 0 -1;0 0 1 0 -1 1;0 0 1 -1 1 5
2,5,7,49,1,-2 1 0 0 0 0 0 0;1 -2 1 0 0 0 0 0;0 1 -3 1 0 0 0 -1;0 0 1 -1 1 0 1 1;0 0 0 1 -2 1 0 0;0 0 0 0 1 -4 0 -2;0 0 0 1 0 0 -1 1;0 0 -1 1 0 -2 1 3
2,6,6,-16,1,-2 1 0 0 0 0 0;1 -2 1 0 0 0 0;0 1 -2 1 0 0 0;0 0 1 -1 1 1 1;0 0 0 1 -4 0 -2;0 0 0 1 0 -1 1;0 0 0 1 -2 1 4
2,7,8,-81,1,-2 1 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0;0 0 1 -3 1 0 0 0 -1;0 0 0 1 -1 1 0 1 1;0 0 0 0 1 -2 1 0 0;0 0 0 0 0 1 -5 0 -3;0 0 0 0 1 0 0 -1 1;0 0 0 -1 1 0 -3 1 2
2,8,7,25,1,-2 1 0 0 0 0 0 0;1 -2 1 0 0 0 0 0;0 1 -2 1 0 0 0 0;0 0 1 -2 1 0 0 0;0 0 0 1 -1 1 1 1;0 0 0 0 1 -5 0 -3;0 0 0 0 1 0 -1 1;0 0 0 0 1 -3 1 3
2,9,9,121,1,-2 1 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0;0 0 0 1 -3 1 0 0 0 -1;0 0 0 0 1 -1 1 0 1 1;0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 1 -6 0 -4;0 0 0 0 0 1 0 0 -1 1;0 0 0 0 -1 1 0 -4 1 1
2,10,8,-36,1,-2 1 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0;0 0 1 -2 1 0 0 0 0;0 0 0 1 -2 1 0 0 0;0 0 0 0 1 -1 1 1 1;0 0 0 0 0 1 -6 0 -4;0 0 0 0 0 1 0 -1 1;0 0 0 0 0 1 -4 1 2
2,11,10,-169,1,-2 1 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 1 -3 1 0 0 0 -1;0 0 0 0 0 1 -1 1 0 1 1;0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 1 -7 0 -5;0 0 0 0 0 0 1 0 0 -1 1;0 0 0 0 0 -1 1 0 -5 1 0
2,12,9,49,1,-2 1 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0;0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 1 -7 0 -5;0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 1 -5 1 1
